S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
36,Global IME Laghubitta Bittiya Sanstha Ltd.,20,889.00,864.00,865.00,3065.00,2658388.00,875.00,-10.00
37,Goodwill Finance Limited,6,129.00,124.00,126.00,340.00,43030.00,130.00,-4.00
38,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,56,326.00,320.00,325.00,14432.00,4653635.00,323.00,2.00
39,Green Development Bank Ltd.,2,102.00,102.00,102.00,160.00,16320.00,103.00,-1.00
40,Guheshowori Merchant Bank & Finance Co. Ltd.,2,122.00,120.00,120.00,400.00,48600.00,124.00,-4.00
41,Gurans Laghubitta Bittiya Sanstha Limited,35,474.00,456.00,460.00,1965.00,907985.00,455.00,5.00
42,Gurans Life Insurance Company Ltd.,34,464.00,455.00,458.00,7971.00,3665457.00,460.00,-2.00
43,Gurkhas Finance Ltd.,2,110.00,109.00,109.00,340.00,37360.00,110.00,-1.00
44,Himalaya Urja Bikas Company Limited,17,104.00,101.00,101.00,340.00,34600.00,102.00,-1.00
45,Himalayan Bank Limited,43,509.00,501.00,501.00,8539.00,4315976.00,509.00,-8.00
46,Himalayan Distillery Limited,161,1230.00,1214.00,1215.00,15377.00,18783406.00,1216.00,-1.00
47,Himalayan General Insurance Co. Ltd,18,286.00,284.00,284.00,3088.00,878903.00,288.00,-4.00
48,Himalayan Power Partner Ltd.,28,148.00,142.00,144.00,1520.00,219570.00,144.00,0.00
49,Hydorelectricity Investment and Development Company Ltd,73,143.00,132.00,134.00,12371.00,1660596.00,145.00,-11.00
50,ICFC Finance Limited,6,151.00,146.00,151.00,3321.00,497168.00,146.00,5.00
51,IME General Insurance Ltd.,15,306.00,299.00,303.00,2715.00,825575.00,303.00,0.00
52,Infinity Laghubitta Bittiya Sanstha Limited,83,563.00,546.00,554.00,10834.00,5955655.00,551.00,3.00
53,Janaki Finance Company Limited,4,162.00,160.00,162.00,850.00,136550.00,162.00,0.00
54,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,18,1224.00,1186.00,1200.00,838.00,1008722.00,1200.00,0.00
55,Joshi Hydropower Development Company Ltd,30,66.00,61.00,65.00,1840.00,118940.00,60.00,5.00
56,Jyoti Bikas Bank Limited,34,151.00,149.00,149.00,8603.00,1283758.00,152.00,-3.00
57,Kalika power Company Ltd,30,82.00,81.00,82.00,850.00,69660.00,81.00,1.00
58,Kamana Sewa Bikas Bank Limited,34,137.00,134.00,134.00,7967.00,1075905.00,135.00,-1.00
59,Kanchan Development Bank Limited,1,209.00,209.00,209.00,100.00,20900.00,210.00,-1.00
60,Karnali Development Bank Limited,3,103.00,101.00,101.00,660.00,66680.00,101.00,0.00
61,Khanikhola Hydropower Co. Ltd.,8,51.00,49.10,50.00,1644.00,83594.96,49.00,1.00
62,Kumari Bank Limited,78,179.00,176.00,177.00,25982.00,4605761.00,177.00,0.00
63,Laxmi Bank Limited,38,193.00,190.00,191.00,10823.00,2069926.00,189.00,2.00
64,Laxmi Laghubitta Bittiya Sanstha Ltd.,29,735.00,706.00,719.00,2900.00,2104818.00,714.00,5.00
65,Laxmi Value Fund-1,1,9.10,9.10,9.10,3000.00,27300.00,8.99,0.11
66,Life Insurance Corporation (Nepal) Limited,25,1099.00,1073.00,1074.00,1945.00,2098534.00,1090.00,-16.00
67,Lumbini Bikas Bank Ltd.,92,198.00,193.00,195.00,38846.00,7562410.00,195.00,0.00
68,Lumbini General Insurance Co. Ltd.,16,332.00,328.00,329.00,2469.00,814868.00,335.00,-6.00
69,Machhapuchhre Bank Limited,34,219.00,217.00,217.00,9426.00,2049538.00,217.00,0.00
70,Mahalaxmi Bikas Bank Ltd.,13,177.00,173.00,175.00,2569.00,448982.00,174.00,1.00
71,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,13,562.00,541.00,555.00,1380.00,768030.00,557.00,-2.00
72,Mahuli Laghubitta Bittiya Sanstha Limited,7,790.00,775.00,790.00,240.00,187312.00,780.00,10.00
73,Manjushree Finance Ltd.,15,134.00,132.00,133.00,9957.00,1320517.00,132.00,1.00
74,Mega  Bank Nepal Ltd.,52,183.00,182.00,183.00,15427.00,2814804.00,184.00,-1.00
75,Mero Microfinance Bittiya Sanstha Ltd.,41,462.00,455.00,460.00,3750.00,1725246.00,453.00,7.00
76,Miteri Development Bank Limited,6,258.00,250.00,250.00,557.00,142402.00,253.00,-3.00
77,Mithila LaghuBitta Bittiya Sanstha Limited,15,483.00,474.00,474.00,691.00,329708.00,474.00,0.00
78,Mountain Hydro Nepal Limited,14,85.00,83.00,85.00,450.00,37810.00,84.00,1.00
79,Muktinath Bikas Bank Ltd.,32,280.00,275.00,279.00,6656.00,1851543.00,275.00,4.00
80,Multipurpose Finance Company  Limited,1,104.00,104.00,104.00,30.00,3120.00,104.00,0.00
81,Nabil Bank Limited,92,690.00,684.00,685.00,20018.00,13735671.00,690.00,-5.00
82,Nabil Equity Fund,6,7.60,7.56,7.60,11500.00,87303.04,7.55,0.05
83,Nadep Laghubittiya bittya Sanstha Ltd.,184,535.00,507.00,519.00,19821.00,10412622.00,517.00,2.00
84,National Hydro Power Company Limited,5,51.00,50.00,50.00,4500.00,226500.00,50.00,0.00
85,National Life Insurance Co. Ltd.,35,486.00,480.00,484.00,6326.00,3047289.00,484.00,0.00
86,Naya Sarathi Laghubitta Bittiya Sanstha Limited,39,519.00,500.00,514.00,7888.00,3996537.00,519.00,-5.00
87,Neco Insurance Limited,20,425.00,410.00,413.00,4341.00,1782893.00,417.00,-4.00
88,Nepal Bangladesh Bank Limited,34,189.00,185.00,188.00,12907.00,2416732.00,186.00,2.00
89,Nepal Bank Limited,79,268.00,263.00,266.00,25846.00,6839064.00,264.00,2.00
90,Nepal Credit And Commercial Bank Limited,79,203.00,201.00,203.00,26636.00,5377549.00,203.00,0.00
91,Nepal Doorsanchar Company Limited,11,618.00,613.00,613.00,1420.00,873450.00,619.00,-6.00
92,Nepal Finance Ltd.,3,144.00,142.00,142.00,1510.00,214440.00,140.00,2.00
93,Nepal Hydro Developers Ltd.,3,112.00,112.00,112.00,30.00,3360.00,112.00,0.00
94,Nepal Insurance Co. Ltd.,31,304.00,299.00,302.00,7384.00,2217442.00,304.00,-2.00
95,Nepal Investment Bank Limited,55,408.00,398.00,398.00,4596.00,1832788.00,400.00,-2.00
96,Nepal Investment Bank Ltd. Promoter Share,1,375.00,375.00,375.00,10.00,3750.00,370.00,5.00
97,Nepal Life Insurance Co. Ltd.,311,974.00,946.00,950.00,32691.00,31157597.00,960.00,-10.00
98,Nepal SBI Bank Limited,37,356.00,350.00,353.00,10668.00,3762384.00,356.00,-3.00
99,Nerude Laghubitta Bittiya Sanstha Limited,26,498.00,489.00,493.00,2819.00,1386952.00,480.00,13.00
100,Ngadi Group Power Ltd.,7,111.00,108.00,108.00,588.00,63635.00,108.00,0.00
101,NIBL Samriddhi Fund 1,3,8.30,8.10,8.10,10100.00,81830.00,8.18,-0.08
102,NIC Asia Bank Ltd.,120,415.00,411.00,413.00,41445.00,17121498.00,411.00,2.00
103,NIC Asia Growth Fund,1,8.72,8.72,8.72,500.00,4360.00,8.72,0.00
104,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,56,800.00,790.00,799.00,2779.00,2209496.00,790.00,9.00
105,NLG Insurance Company Ltd.,11,617.00,595.00,605.00,776.00,467320.00,605.00,0.00
106,NMB  Microfinance Bittiya Sanstha Ltd.,9,580.00,565.00,573.00,622.00,352160.00,575.00,-2.00
107,NMB Bank Limited,128,324.00,322.00,323.00,27521.00,8895531.00,323.00,0.00
108,NMB Hybrid Fund L-1,1,8.70,8.70,8.70,4161.00,36200.70,8.73,-0.03
109,Oriental Hotels Limited,118,508.00,468.00,473.00,17680.00,8517132.00,499.00,-26.00
110,Panchakanya Mai Hydropower Ltd,20,87.00,85.00,87.00,440.00,37690.00,85.00,2.00
111,Panchthar Power Compant Limited,43,113.00,109.00,113.00,3330.00,371640.00,110.00,3.00
112,Pokhara Finance Ltd.,17,133.00,130.00,133.00,1559.00,205000.00,133.00,0.00
113,Prabhu  Bank Limited,71,228.00,223.00,223.00,20033.00,4488741.00,224.00,-1.00
114,Prabhu  Bank Limited Promoter Share,3,159.00,156.00,156.00,150000.00,23520000.00,162.00,-6.00
115,Prabhu Insurance Ltd.,35,334.00,329.00,329.00,6294.00,2085399.00,333.00,-4.00
116,Premier Insurance Company (Nepal) Limited,38,410.00,404.00,408.00,3095.00,1257033.00,409.00,-1.00
117,Prime Commercial Bank Ltd.,43,237.00,235.00,235.00,7058.00,1664684.00,236.00,-1.00
118,Prime Life Insurance Company Limited,44,373.00,361.00,367.00,7968.00,2908884.00,368.00,-1.00
119,Progressive Finance Limited,3,97.00,95.00,97.00,30.00,2880.00,94.00,3.00
120,Progressive Finance Limited Promoter Share,29,101.00,101.00,101.00,156328.00,15789128.00,101.00,0.00
121,Prudential Insurance Co. Ltd.,8,438.00,432.00,438.00,718.00,310454.00,439.00,-1.00
122,Radhi Bidyut Company Ltd,11,139.00,137.00,139.00,128.00,17605.00,140.00,-1.00
123,Rairang Hydropower Development Company Ltd.,17,98.00,95.00,98.00,170.00,16540.00,96.00,2.00
124,Rastriya Beema Company Limited,9,8458.00,8435.00,8452.00,125.00,1055134.00,8458.00,-6.00
125,RASUWAGADHI HYDROPOWER COMPANY LIMITED,169,171.00,168.00,168.00,11515.00,1944840.00,169.00,-1.00
126,Reliance Finance Ltd.,5,112.00,109.00,109.00,1475.00,161567.00,113.00,-4.00
127,Ridi Hydropower Development Company Ltd.,8,70.00,69.00,70.00,4110.00,285100.00,71.00,-1.00
128,RMDC Laghubitta Bittiya Sanstha Ltd.,41,572.00,533.00,552.00,3982.00,2210049.00,542.00,10.00
129,RSDC Laghubitta Bittiya Sanstha Ltd.,11,328.00,320.00,322.00,962.00,313867.00,322.00,0.00
130,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,105,575.00,550.00,575.00,7702.00,4347346.00,556.00,19.00
131,Sagarmatha Insurance Co. Ltd.,12,508.00,495.00,508.00,1927.00,956142.00,500.00,8.00
132,Salt Trading Corporation,31,2008.00,1932.00,1980.00,980.00,1913260.00,1970.00,10.00
133,Samata Gharelu Laghubitta Bittiya Sanstha Limited,25,550.00,515.00,536.00,3300.00,1775589.00,515.00,21.00
134,Samriddhi Finance Company Limited,3,101.00,98.00,98.00,175.00,17510.00,100.00,-2.00
135,Samudayik Laghubitta Bittiya Sanstha Limited,8,619.00,592.00,607.00,275.00,166895.00,604.00,3.00
136,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,83,861.00,816.00,845.00,10461.00,8783782.00,829.00,16.00
137,Sanima Bank Limited,37,313.00,311.00,313.00,11998.00,3746067.00,313.00,0.00
138,Sanima Equity Fund,2,8.55,8.55,8.55,1300.00,11115.00,8.67,-0.12
139,Sanima Mai Hydropower Ltd.,35,169.00,165.00,168.00,8729.00,1446443.00,168.00,0.00
140,SANJEN JALAVIDHYUT COMPANY LIMITED,165,158.00,154.00,154.00,7730.00,1200970.00,155.00,-1.00
141,Saptakoshi Development Bank Ltd,8,126.00,122.00,122.00,2195.00,270444.00,127.00,-5.00
142,Shangrila Development Bank Ltd.,14,137.00,135.00,137.00,2511.00,340879.00,137.00,0.00
143,Shikhar Insurance Co. Ltd.,27,857.00,850.00,850.00,2009.00,1717737.00,856.00,-6.00
144,Shine Resunga Development Bank Ltd.,35,235.00,231.00,231.00,12907.00,3000214.00,236.00,-5.00
145,SHIVAM CEMENTS LTD,725,502.00,460.00,489.00,188130.00,92149759.00,468.00,21.00
146,Siddhartha Bank Limited,46,284.00,282.00,282.00,10150.00,2867185.00,282.00,0.00
147,Siddhartha Equity Fund,7,9.00,8.89,9.00,14100.00,126649.00,8.90,0.10
148,Siddhartha Insurance Ltd.,22,418.00,413.00,413.00,4673.00,1933208.00,416.00,-3.00
149,Sindhu Bikash Bank Ltd,10,119.00,117.00,117.00,2142.00,251536.00,118.00,-1.00
150,Soaltee Hotel Limited,285,211.00,196.00,197.00,81793.00,16717014.00,204.00,-7.00
151,Sparsha Laghubitta Bittiya Sanstha Limited,27,584.00,562.00,565.00,2725.00,1555319.00,573.00,-8.00
152,Standard Chartered Bank Limited,54,539.00,529.00,538.00,6666.00,3563707.00,534.00,4.00
153,Summit Laghubitta Bittiya Sanstha Limited,13,559.00,549.00,559.00,1753.00,964477.00,539.00,20.00
154,Sunrise Bank Limited,29,217.00,214.00,215.00,10599.00,2283691.00,215.00,0.00
155,Support Microfinance Bittiya Sanstha Ltd.,5,561.00,544.00,561.00,50.00,27530.00,544.00,17.00
156,Surya Life Insurance Company Limited,68,309.00,303.00,305.00,12887.00,3940749.00,308.00,-3.00
157,Swabalamban Laghubitta Bittiya Sanstha Limited,40,871.00,860.00,862.00,4195.00,3636213.00,854.00,8.00
158,Swabhimaan Laghubitta Bittiya Sanstha Limited,128,936.00,885.00,933.00,5842.00,5325726.00,877.00,56.00
159,Swadeshi Laghubitta Bittiya Sanstha Ltd.,19,590.00,577.00,590.00,1635.00,958804.00,577.00,13.00
160,Swarojgar Laghu Bitta Bikas Bank Ltd.,25,572.00,562.00,563.00,3300.00,1861870.00,561.00,2.00
161,Synergy Power Development Ltd.,5,91.00,89.00,89.00,70.00,6305.00,90.00,-1.00
162,Taragaon Regency Hotel Limited,121,300.00,284.00,287.00,34267.00,9913526.00,298.00,-11.00
163,Tinau Mission Development Bank Limited,23,154.00,152.00,153.00,5548.00,852191.00,154.00,-1.00
164,Union Hydropower Limited,15,58.00,54.00,57.00,1180.00,67850.00,53.00,4.00
165,United Insurance Co. (Nepal) Ltd.,2,291.00,291.00,291.00,255.00,74205.00,296.00,-5.00
166,United Modi Hydropower Ltd.,4,101.00,100.00,101.00,834.00,84100.00,101.00,0.00
167,UNIVERSAL POWER COMPANY LTD,14,74.00,72.00,72.00,3050.00,223740.00,72.00,0.00
168,Upper Tamakoshi Hydropower Ltd,82,237.00,233.00,237.00,6549.00,1541812.00,236.00,1.00
169,Vijaya laghubitta Bittiya Sanstha Ltd.,6,666.00,641.00,666.00,509.00,333702.00,652.00,14.00
170,Wean Nepal Laghubitta Bittiya Sanstha Limited,11,519.00,478.00,519.00,210.00,106210.00,482.00,37.00
