S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
27,Citizen Investment Trust,229,4250.00,4180.00,4205.00,9031.00,37939606.00,4231.00,-26.00
28,Citizens Bank International Limited,331,315.00,310.00,311.00,75915.00,23629585.00,310.00,1.00
29,Citizens Mutual Fund -1,28,10.60,10.50,10.55,589000.00,6217162.00,10.51,0.04
30,CITIZENS MUTUAL FUND 2,22,11.05,10.98,11.00,28850.00,317728.00,11.02,-0.02
31,Civil Bank Ltd,458,241.00,226.00,236.00,99773.00,23533291.00,237.00,-1.00
32,Civil Laghubitta Bittiya Sanstha Ltd.,355,1262.00,1198.00,1256.00,30377.00,37954279.00,1215.00,41.00
33,Corporate Development Bank Limited,33,655.00,643.00,648.00,2080.00,1346455.00,645.00,3.00
34,Deprosc Laghubitta Bittiya Sanstha Limited,542,1810.00,1782.00,1795.00,45557.00,81852070.00,1789.00,6.00
35,Dibyashwori Hydropower Ltd.,175,130.00,123.00,126.00,41278.00,5200445.00,127.00,-1.00
36,Everest Bank Limited,205,760.00,740.00,747.00,25140.00,18812237.00,750.00,-3.00
37,Everest Insurance Co. Ltd.,355,783.00,754.00,769.00,35812.00,27578732.00,760.00,9.00
38,Everest Insurance Co. Ltd. Promoter Share,14,405.00,386.00,393.00,2066.00,806756.00,400.00,-7.00
39,Excel Development Bank Ltd.,206,513.00,492.00,512.00,40114.00,20280424.00,490.00,22.00
40,First Micro Finance Laghubitta Bittiya Sanstha Limited,345,877.00,860.00,865.00,39457.00,34185839.00,861.00,4.00
41,Forward Microfinance Laghubitta Bittiya Sanstha Limited,539,3007.00,2873.00,3000.00,36372.00,107954866.00,2874.00,126.00
42,Ganapati Laghubitta Bittiya Sanstha Limited,153,1705.00,1611.00,1705.00,11096.00,18729408.00,1610.00,95.00
43,Garima Bikas Bank Limited,429,337.00,326.00,333.00,124522.00,41542534.00,328.00,5.00
44,General Insurance Company Nepal Ltd,584,735.00,710.00,733.00,19543.00,14224913.00,720.00,13.00
45,Ghalemdi Hydro Limited,131,166.00,159.00,164.00,10035.00,1621561.00,161.00,3.00
46,Global IME Bank Limited,1067,449.00,422.00,443.00,169485.00,75280074.00,443.00,0.00
47,Global IME Laghubitta Bittiya Sanstha Ltd.,311,2450.00,2260.00,2444.00,20157.00,48418300.00,2230.00,214.00
48,Global IME Samunnat Scheme-1,7,15.78,15.74,15.74,56000.00,882480.00,15.80,-0.06
49,Goodwill Finance Limited,126,280.00,262.00,273.00,21380.00,5808156.00,263.00,10.00
50,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,628,1188.00,1155.00,1169.00,63419.00,74435265.00,1162.00,7.00
51,Green Development Bank Ltd.,99,191.00,176.00,179.00,15116.00,2700828.00,182.00,-3.00
52,GreenLife Hydropower Limited,2148,410.00,371.00,410.00,81311.00,32544212.00,373.00,37.00
53,Guheshowori Merchant Bank & Finance Co. Ltd.,155,241.00,229.00,238.00,38272.00,8976982.00,227.00,11.00
54,Gurans Laghubitta Bittiya Sanstha Limited,173,1699.00,1605.00,1690.00,14597.00,24263677.00,1605.00,85.00
55,Gurans Life Insurance Company Ltd.,145,775.00,758.00,770.00,18111.00,13821979.00,761.00,9.00
56,Gurkhas Finance Ltd.,297,483.00,462.00,479.00,91256.00,42887915.00,475.00,4.00
57,Himal Dolakha Hydropower Company Limited,838,159.00,151.00,152.00,290158.00,44394613.00,152.00,0.00
58,Himalaya Urja Bikas Company Limited,86,340.00,331.00,333.00,8645.00,2874610.00,337.00,-4.00
59,Himalayan Bank Limited,144,510.00,505.00,506.00,15353.00,7772405.00,505.00,1.00
60,Himalayan Distillery Limited,269,4450.00,4341.00,4360.00,15760.00,69019468.00,4410.00,-50.00
61,Himalayan General Insurance Co. Ltd,520,844.00,779.00,783.00,88301.00,69656511.00,804.00,-21.00
62,Himalayan Power Partner Ltd.,175,423.00,398.00,402.00,17178.00,6943843.00,403.00,-1.00
63,Hydorelectricity Investment and Development Company Ltd,727,433.00,421.00,423.00,141383.00,59994007.00,425.00,-2.00
64,ICFC Finance Limited,471,325.00,308.00,323.00,125239.00,39695796.00,308.00,15.00
65,IME General Insurance Ltd.,397,1270.00,1218.00,1245.00,40892.00,50669831.00,1218.00,27.00
66,Infinity Laghubitta Bittiya Sanstha Limited,411,1722.00,1611.00,1720.00,25197.00,42549549.00,1623.00,97.00
67,Janaki Finance Company Limited,130,272.00,262.00,271.00,27266.00,7367051.00,266.00,5.00
68,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,119,4570.00,4475.00,4511.00,5314.00,23971070.00,4500.00,11.00
69,Joshi Hydropower Development Company Ltd,144,142.00,136.00,138.00,9115.00,1258077.00,138.00,0.00
70,Jyoti Bikas Bank Limited,1392,271.00,259.00,260.00,384001.00,102014344.00,263.00,-3.00
71,Jyoti Life Insurance Company Limited,32,426.00,388.00,426.00,230.00,93202.00,388.00,38.00
72,Kalika Laghubitta Bittiya Sanstha Ltd,201,1377.00,1321.00,1364.00,18234.00,24761359.00,1330.00,34.00
73,Kalika power Company Ltd,107,290.00,284.00,285.00,7826.00,2238441.00,289.00,-4.00
74,Kamana Sewa Bikas Bank Limited,309,345.00,338.00,340.00,78697.00,26846016.00,341.00,-1.00
75,Karnali Development Bank Limited,156,191.00,177.00,183.00,29519.00,5386461.00,184.00,-1.00
76,Khanikhola Hydropower Co. Ltd.,155,141.00,133.00,134.00,15315.00,2082715.00,138.00,-4.00
77,Kisan Lagubitta Bittiya Sanstha Limited,34,1785.00,1741.00,1763.00,2271.00,3997581.00,1759.00,4.00
78,Kumari Bank Limited,725,318.00,315.00,316.00,241833.00,76686549.00,315.00,1.00
79,Laxmi Bank Limited,473,316.00,307.00,314.00,178595.00,55650642.00,313.00,1.00
80,Laxmi Equity Fund,10,11.10,11.05,11.05,20099.00,222504.90,11.08,-0.03
81,Laxmi Laghubitta Bittiya Sanstha Ltd.,211,2199.00,2080.00,2153.00,21360.00,45879812.00,2060.00,93.00
82,Laxmi Unnati Kosh,30,10.25,10.20,10.20,12000.00,122580.00,10.15,0.05
83,Liberty Energy Company Limited,307,314.00,302.00,304.00,27079.00,8247111.00,302.00,2.00
84,Life Insurance Corporation (Nepal) Limited,67,2379.00,2332.00,2358.00,5275.00,12405863.00,2348.00,10.00
85,Lumbini Bikas Bank Ltd.,252,273.00,263.00,265.00,46307.00,12426740.00,266.00,-1.00
86,Lumbini General Insurance Co. Ltd.,247,835.00,817.00,825.00,32869.00,27044785.00,822.00,3.00
87,Machhapuchhre Bank Limited,330,311.00,308.00,311.00,83930.00,25986409.00,310.00,1.00
88,Mahalaxmi Bikas Bank Ltd.,196,295.00,287.00,292.00,38748.00,11347859.00,292.00,0.00
89,Mahuli Laghubitta Bittiya Sanstha Limited,92,2342.00,2271.00,2330.00,4845.00,11215691.00,2227.00,103.00
90,Manjushree Finance Ltd.,80,510.00,501.00,505.00,9225.00,4665592.00,500.00,5.00
91,Mega  Bank Nepal Ltd.,845,310.00,304.00,307.00,269452.00,82698935.00,308.00,-1.00
92,Mero Microfinance Bittiya Sanstha Ltd.,204,1508.00,1460.00,1481.00,30719.00,45286707.00,1466.00,15.00
93,Mirmire Microfinance Development Bank Ltd.,225,1674.00,1601.00,1650.00,22728.00,37041389.00,1595.00,55.00
94,Miteri Development Bank Limited,68,350.00,342.00,348.00,7182.00,2497667.00,342.00,6.00
95,Mithila LaghuBitta Bittiya Sanstha Limited,132,1785.00,1717.00,1774.00,10286.00,18033536.00,1700.00,74.00
96,Mountain Energy Nepal Limited,340,740.00,713.00,732.00,10293.00,7521426.00,727.00,5.00
97,Mountain Hydro Nepal Limited,68,270.00,255.00,258.00,12761.00,3342861.00,259.00,-1.00
98,Muktinath Bikas Bank Ltd.,291,415.00,410.00,412.00,41209.00,17032836.00,412.00,0.00
99,Multipurpose Finance Company  Limited,309,236.00,216.00,236.00,69911.00,16118291.00,215.00,21.00
100,NABIL BALANCED FUND-2,58,11.50,11.33,11.42,167100.00,1904468.45,11.38,0.04
101,Nabil Bank Limited,977,1339.00,1316.00,1330.00,136914.00,181750977.00,1317.00,13.00
102,Nabil Equity Fund,38,12.39,12.15,12.22,103746.00,1270253.92,12.31,-0.09
103,Narayani Development Bank Limited,41,611.00,575.00,595.00,2555.00,1527921.00,586.00,9.00
104,National Hydro Power Company Limited,315,180.00,169.00,172.00,134804.00,23485734.00,177.00,-5.00
105,National Life Insurance Co. Ltd.,288,1212.00,1151.00,1154.00,40271.00,46805738.00,1155.00,-1.00
106,National Microfinance Laghubitta Bittiya Sanstha Limited,125,3300.00,3115.00,3221.00,4803.00,15491221.00,3173.00,48.00
107,Naya Sarathi Laghubitta Bittiya Sanstha Limited,60,1640.00,1613.00,1639.00,5750.00,9352116.00,1596.00,43.00
108,Neco Insurance Limited,418,1690.00,1655.00,1664.00,53368.00,89156330.00,1667.00,-3.00
109,Nepal Bangladesh Bank Limited,542,371.00,367.00,368.00,198168.00,73106879.00,367.00,1.00
110,Nepal Bank Limited,527,446.00,437.00,445.00,545585.00,240724738.00,441.00,4.00
111,Nepal Credit And Commercial Bank Limited,245,320.00,315.00,316.00,106046.00,33546413.00,317.00,-1.00
112,Nepal Doorsanchar Company Limited,463,1380.00,1349.00,1351.00,101298.00,137184925.00,1370.00,-19.00
113,Nepal Finance Ltd.,144,321.00,312.00,313.00,26591.00,8426935.00,309.00,4.00
114,Nepal Hydro Developers Ltd.,41,322.00,310.00,317.00,1750.00,555380.00,314.00,3.00
115,Nepal Infrastructure Bank Limited,4303,621.00,588.00,589.00,432501.00,255524149.00,592.00,-3.00
116,Nepal Insurance Co. Ltd.,190,824.00,814.00,814.00,34447.00,28214234.00,814.00,0.00
117,Nepal Investment Bank Limited,442,468.00,456.00,459.00,67393.00,31000581.00,460.00,-1.00
118,Nepal Investment Bank Ltd. Promoter Share,40,418.00,402.00,402.00,8757.00,3554613.00,403.00,-1.00
119,Nepal Life Insurance Co. Ltd.,704,2201.00,2090.00,2113.00,43828.00,92790544.00,2100.00,13.00
120,Nepal Reinsurance Company Limited,815,1525.00,1430.00,1448.00,72533.00,105493225.00,1457.00,-9.00
121,Nepal SBI Bank Limited,150,420.00,409.00,413.00,20220.00,8332213.00,412.00,1.00
122,Nerude Laghubitta Bittiya Sanstha Limited,74,1690.00,1660.00,1675.00,18177.00,30502756.00,1658.00,17.00
123,Ngadi Group Power Ltd.,159,267.00,249.00,251.00,22744.00,5774405.00,252.00,-1.00
124,NIBL Pragati Fund,22,12.55,12.40,12.40,94878.00,1180971.30,12.45,-0.05
125,NIBL Samriddhi Fund 1,9,13.12,13.12,13.12,84018.00,1102316.16,13.05,0.07
126,NIC Asia Balanced Fund,18,11.80,11.40,11.63,33425.00,385802.75,11.74,-0.11
127,NIC Asia Bank Limted Promoter Share,1,495.00,495.00,495.00,15000.00,7425000.00,495.00,0.00
128,NIC Asia Bank Ltd.,566,938.00,907.00,918.00,99242.00,91263678.00,920.00,-2.00
129,NIC Asia Growth Fund,44,12.51,12.15,12.16,172300.00,2129523.00,12.61,-0.45
130,NIC ASIA Laghubitta Bittiya Sanstha Limited,66,1405.00,1297.00,1405.00,731.00,1024845.00,1278.00,127.00
131,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,223,1851.00,1810.00,1818.00,25066.00,45773070.00,1822.00,-4.00
132,NLG Insurance Company Ltd.,419,1181.00,1111.00,1140.00,53303.00,61062814.00,1143.00,-3.00
133,NMB  Microfinance Bittiya Sanstha Ltd.,466,1521.00,1410.00,1493.00,33106.00,48885338.00,1424.00,69.00
134,NMB 50,37,12.55,12.27,12.55,228400.00,2821031.50,12.52,0.03
135,NMB Bank Limited,597,430.00,423.00,424.00,112006.00,47677687.00,425.00,-1.00
136,NMB Hybrid Fund L-1,15,11.65,11.45,11.65,21259.00,245125.78,11.52,0.13
137,NRN Infrastructure and Development Limited,1220,502.00,459.00,495.00,190096.00,93286000.00,464.00,31.00
138,Oriental Hotels Limited,23,475.00,471.00,475.00,1571.00,741665.00,477.00,-2.00
139,Panchakanya Mai Hydropower Ltd,111,197.00,188.00,191.00,9022.00,1713680.00,198.00,-7.00
140,Panchthar Power Compant Limited,144,316.00,294.00,314.00,19220.00,5898206.00,301.00,13.00
141,Pokhara Finance Ltd.,563,322.00,296.00,319.00,98338.00,30708951.00,300.00,19.00
142,Prabhu  Bank Limited,624,459.00,450.00,451.00,153752.00,69555329.00,452.00,-1.00
143,Prabhu Insurance Ltd.,188,972.00,955.00,959.00,22377.00,21519521.00,954.00,5.00
144,Prabhu Life Insurance Limited,943,842.00,795.00,801.00,18015.00,14440205.00,802.00,-1.00
145,Premier Insurance Company (Nepal) Limited,278,1386.00,1294.00,1300.00,27960.00,36524574.00,1320.00,-20.00
146,Prime Commercial Bank Ltd.,271,440.00,435.00,437.00,45498.00,19883533.00,438.00,-1.00
147,Prime Life Insurance Company Limited,188,890.00,869.00,872.00,23420.00,20463120.00,880.00,-8.00
148,Progressive Finance Limited,218,178.00,172.00,177.00,49796.00,8677060.00,170.00,7.00
149,Prudential Insurance Co. Ltd.,228,899.00,870.00,878.00,33629.00,29685228.00,886.00,-8.00
150,Radhi Bidyut Company Ltd,185,486.00,462.00,470.00,22456.00,10556063.00,479.00,-9.00
151,Rairang Hydropower Development Company Ltd.,134,405.00,375.00,378.00,8518.00,3245235.00,383.00,-5.00
152,Rastriya Beema Company Limited,57,18492.00,17640.00,18050.00,885.00,16048515.00,18500.00,-450.00
153,Rastriya Beema Company Limited Promoter Share,43,16380.00,15877.00,16099.00,998.00,16025630.00,16201.00,-102.00
154,RASUWAGADHI HYDROPOWER COMPANY LIMITED,1091,538.00,501.00,506.00,121697.00,62043720.00,528.00,-22.00
155,Reliance Finance Ltd.,2022,306.00,285.00,306.00,312540.00,93857952.00,279.00,27.00
156,Reliance Life Insurance Limited,829,725.00,715.00,719.00,32170.00,23209565.00,718.00,1.00
157,Ridi Hydropower Development Company Ltd.,162,224.00,211.00,211.00,39909.00,8533122.00,218.00,-7.00
158,RMDC Laghubitta Bittiya Sanstha Ltd.,232,1230.00,1212.00,1224.00,24875.00,30420871.00,1220.00,4.00
159,RSDC Laghubitta Bittiya Sanstha Ltd.,278,905.00,889.00,892.00,21779.00,19444887.00,890.00,2.00
160,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,178,1586.00,1535.00,1586.00,7890.00,12322454.00,1536.00,50.00
161,Sadhana Laghubitta Bittiya Sanstha Limited,300,1540.00,1450.00,1529.00,14914.00,22452468.00,1474.00,55.00
162,Sagarmatha Insurance Co. Ltd.,241,1724.00,1695.00,1702.00,22339.00,38093966.00,1702.00,0.00
163,Salt Trading Corporation,203,11505.00,11150.00,11201.00,3521.00,39975711.00,11298.00,-97.00
164,Samriddhi Finance Company Limited,247,222.00,204.00,222.00,68449.00,14967020.00,214.00,8.00
165,Samudayik Laghubitta Bittiya Sanstha Limited,147,1389.00,1325.00,1385.00,10314.00,14102325.00,1344.00,41.00
166,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,191,1738.00,1699.00,1705.00,16587.00,28511064.00,1710.00,-5.00
167,Sanima Bank Limited,419,386.00,375.00,378.00,130696.00,49592019.00,379.00,-1.00
168,Sanima Equity Fund,18,14.25,14.05,14.13,34720.00,491317.60,14.11,0.02
169,Sanima General Insurance Limited,612,811.00,747.00,790.00,25225.00,19897945.00,778.00,12.00
170,Sanima Large Cap Fund,24,10.00,9.79,9.95,5895.00,58279.25,9.95,0.00
171,Sanima Mai Hydropower Ltd.,335,382.00,371.00,371.00,112623.00,42285914.00,372.00,-1.00
172,SANJEN JALAVIDHYUT COMPANY LIMITED,1387,508.00,460.00,476.00,137933.00,65497999.00,490.00,-14.00
173,Saptakoshi Development Bank Ltd,173,177.00,171.00,176.00,40168.00,6978262.00,172.00,4.00
174,Shangrila Development Bank Ltd.,414,232.00,220.00,231.00,116838.00,26472593.00,218.00,13.00
175,Shikhar Insurance Co. Ltd.,322,1978.00,1831.00,1933.00,20929.00,40618232.00,1927.00,6.00
176,Shine Resunga Development Bank Ltd.,176,275.00,270.00,273.00,41497.00,11332746.00,270.00,3.00
177,Shiva Shree Hydropower Ltd,648,256.00,240.00,243.00,154562.00,38031849.00,247.00,-4.00
178,SHIVAM CEMENTS LTD,260,1485.00,1460.00,1466.00,19175.00,28207800.00,1472.00,-6.00
179,Shree Investment Finance Co. Ltd.,556,276.00,246.00,272.00,183325.00,48721355.00,251.00,21.00
180,Siddhartha Bank Limited,519,434.00,426.00,429.00,101369.00,43459573.00,431.00,-2.00
181,Siddhartha Equity Fund,24,12.15,12.05,12.15,48998.00,592335.84,12.15,0.00
182,Siddhartha Insurance Ltd.,136,1280.00,1261.00,1268.00,10103.00,12780723.00,1265.00,3.00
183,Siddhartha Investment Growth Scheme - 2,43,12.29,11.95,12.18,280850.00,3402475.50,12.35,-0.17
184,Sindhu Bikash Bank Ltd,235,204.00,195.00,204.00,82607.00,16440232.00,197.00,7.00
185,Soaltee Hotel Limited,66,202.00,200.00,200.00,16940.00,3401875.00,202.00,-2.00
186,Standard Chartered Bank Limited,252,605.00,600.00,601.00,27362.00,16451421.00,602.00,-1.00
187,Summit Laghubitta Bittiya Sanstha Limited,94,1568.00,1531.00,1560.00,7251.00,11248531.00,1527.00,33.00
188,Sunrise Bank Limited,342,318.00,309.00,314.00,81613.00,25465980.00,312.00,2.00
189,Sunrise First Mutual Fund,22,13.24,12.78,12.80,76300.00,983901.00,12.99,-0.19
190,Support Microfinance Bittiya Sanstha Ltd.,36,2301.00,2209.00,2287.00,1268.00,2904259.00,2300.00,-13.00
191,Surya Life Insurance Company Limited,172,849.00,825.00,841.00,53437.00,44918930.00,839.00,2.00
192,Suryodaya Laghubitta Bittiya Sanstha Ltd.,25,1999.00,1953.00,1956.00,1317.00,2599056.00,1965.00,-9.00
193,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,471,1896.00,1784.00,1809.00,27138.00,49264616.00,1806.00,3.00
194,Swabalamban Laghubitta Bittiya Sanstha Limited,163,1845.00,1805.00,1844.00,43361.00,78828580.00,1829.00,15.00
195,Swabhimaan Laghubitta Bittiya Sanstha Limited,66,2641.00,2589.00,2600.00,3295.00,8578718.00,2590.00,10.00
196,Swarojgar Laghu Bitta Bikas Bank Ltd.,224,1475.00,1440.00,1465.00,20583.00,30096111.00,1440.00,25.00
197,Synergy Power Development Ltd.,168,283.00,271.00,274.00,47845.00,13192861.00,279.00,-5.00
198,Taragaon Regency Hotel Limited,53,332.00,323.00,325.00,13046.00,4260664.00,332.00,-7.00
199,Union Hydropower Limited,157,137.00,133.00,133.00,32322.00,4349098.00,136.00,-3.00
200,United Finance Ltd.,92,432.00,418.00,418.00,12062.00,5115003.00,425.00,-7.00
201,United IDI Mardi RB Hydropower Limited.,172,312.00,300.00,307.00,6952.00,2136553.00,310.00,-3.00
202,United Insurance Co. (Nepal) Ltd.,285,715.00,705.00,708.00,34777.00,24648351.00,703.00,5.00
203,United Modi Hydropower Ltd.,389,200.00,190.00,192.00,123310.00,23796468.00,197.00,-5.00
204,UNIVERSAL POWER COMPANY LTD,990,188.00,168.00,173.00,250644.00,43901783.00,181.00,-8.00
205,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,57,2387.00,2340.00,2386.00,2156.00,5123697.00,2344.00,42.00
206,Upper Tamakoshi Hydropower Ltd,2981,933.00,886.00,892.00,410328.00,371344113.00,891.00,1.00
207,Vijaya laghubitta Bittiya Sanstha Ltd.,213,1745.00,1681.00,1745.00,13661.00,23554005.00,1689.00,56.00
